,National Seasonally Adjusted,,,,,,,,,,,,,,,,,,,
May-90,64,,,,,,,,,,,,,,,,,,,
Aug-90,56.7,,,,,,,,,,,,,,,,,,,
Nov-90,41.6,,,,,,,,,,,,,,,,,,,
Feb-91,33.8,,,,,,,,,,,,,,,,,,,
May-91,31.6,,,,,,,,,,,,,,,,,,,
Aug-91,29.8,,,,,,,,,,,,,,,,,,,
Nov-91,30.9,,,,,,,,,,,,,,,,,,,
Feb-92,33.3,,,,,,,,,,,,,,,,,,,
May-92,31.9,,,,,,,,,,,,,,,,,,,
Aug-92,33,,,,,,,,,,,,,,,,,,,
Nov-92,36.9,,,,,,,,,,,,,,,,,,,
Feb-93,37,,,,,,,,,,,,,,,,,,,
May-93,42,,,,,,,,,,,,,,,,,,,
Aug-93,46.2,,,,,,,,,,,,,,,,,,,
Nov-93,48.5,,,,,,,,,,,,,,,,,,,
Feb-94,57.6,,,,,,,,,,,,,,,,,,,
May-94,69.5,,,,,,,,,,,,,,,,,,,
Aug-94,82.2,,,,,,,,,,,,,,,,,,,
Nov-94,85.6,,,,,,,,,,,,,,,,,,,
Feb-95,72.7,,,,,,,,,,,,,,,,,,,
May-95,77.3,,,,,,,,,,,,,,,,,,,
Aug-95,74.6,,,,,,,,,,,,,,,,,,,
Nov-95,72.5,,,,,,,,,,,,,,,,,,,
Feb-96,81,,,,,,,,,,,,,,,,,,,
May-96,76.7,,,,,,,,,,,,,,,,,,,
Aug-96,77.5,,,,,,,,,,,,,,,,,,,
Nov-96,82.5,,,,,,,,,,,,,,,,,,,
Feb-97,81.3,,,,,,,,,,,,,,,,,,,
May-97,82.8,,,,,,,,,,,,,,,,,,,
Aug-97,84.9,,,,,,,,,,,,,,,,,,,
Nov-97,90.4,,,,,,,,,,,,,,,,,,,
Feb-98,98.3,,,,,,,,,,,,,,,,,,,
May-98,104,,,,,,,,,,,,,,,,,,,
Aug-98,89.8,,,,,,,,,,,,,,,,,,,
Nov-98,102,,,,,,,,,,,,,,,,,,,
Feb-99,87.2,,,,,,,,,,,,,,,,,,,
May-99,100.2,,,,,,,,,,,,,,,,,,,
Aug-99,106.9,,,,,,,,,,,,,,,,,,,
Nov-99,109.6,,,,,,,,,,,,,,,,,,,
Feb-00,118.1,,,,,,,,,,,,,,,,,,,
May-00,115.9,,,,,,,,,,,,,,,,,,,
Aug-00,114.4,,,,,,,,,,,,,,,,,,,
Nov-00,114.8,,,,,,,,,,,,,,,,,,,
Feb-01,99.7,,,,,,,,,,,,,,,,,,,
May-01,94,,,,,,,,,,,,,,,,,,,
Aug-01,90.2,,,,,,,,,,,,,,,,,,,
Nov-01,88.5,,,,,,,,,,,,,,,,,,,
Feb-02,90.5,,,,,,,,,,,,,,,,,,,
May-02,96.2,,,,,,,,,,,,,,,,,,,
Aug-02,103,,,,,,,,,,,,,,,,,,,
Nov-02,97.6,,,,,,,,,,,,,,,,,,,
Feb-03,109.7,,,,,,,,,,,,,,,,,,,
May-03,104.6,,,,,,,,,,,,,,,,,,,
Aug-03,104.1,,,,,,,,,,,,,,,,,,,
Nov-03,107.5,,,,,,,,,,,,,,,,,,,
Feb-04,103.8,,,,,,,,,,,,,,,,,,,
May-04,127.1,,,,,,,,,,,,,,,,,,,
Aug-04,124.6,,,,,,,,,,,,,,,,,,,
Nov-04,139.2,,,,,,,,,,,,,,,,,,,
Feb-05,146.2,,,,,,,,,,,,,,,,,,,
May-05,140.9,,,,,,,,,,,,,,,,,,,
Aug-05,139,,,,,,,,,,,,,,,,,,,
Nov-05,134.1,,,,,,,,,,,,,,,,,,,
Feb-06,144.3,,,,,,,,,,,,,,,,,,,
May-06,154.1,,,,,,,,,,,,,,,,,,,
Aug-06,154.9,,,,,,,,,,,,,,,,,,,
Nov-06,162.1,,,,,,,,,,,,,,,,,,,
Feb-07,160.8,,,,,,,,,,,,,,,,,,,
May-07,168.6,,,,,,,,,,,,,,,,,,,
Aug-07,173.3,,,,,,,,,,,,,,,,,,,
Nov-07,183.3,,,,,,,,,,,,,,,,,,,
Feb-08,178.2,,,,,,,,,,,,,,,,,,,
May-08,184.5,,,,,,,,,,,,,,,,,,,
Aug-08,,,,,,,,,,,,,,,,,,,,
Nov-08,,,,,,,,,,,,,,,,,,,,
Feb-09,,,,,,,,,,,,,,,,,,,,
May-09,,,,,,,,,,,,,,,,,,,,
Aug-09,,,,,,,,,,,,,,,,,,,,
Nov-09,148.9,,,,,,,,,,,,,,,,,,,
Feb-10,168.4,,,,,,,,,,,,,,,,,,,
May-10,170.3,,,,,,,,,,,,,,,,,,,
Aug-10,178.6,,,,,,,,,,,,,,,,,,,
Nov-10,191.1,,,,,,,,,,,,,,,,,,,
Feb-11,189.4,,,,,,,,,,,,,,,,,,,
May-11,187.3,,,,,,,,,,,,,,,,,,,
Aug-11,183.4,,,,,,,,,,,,,,,,,,,
Nov-11,179.3,,,,,,,,,,,,,,,,,,,
Feb-12,181.8,,,,,,,,,,,,,,,,,,,
May-12,178.1,,,,,,,,,,,,,,,,,,,
Aug-12,175.3,,,,,,,,,,,,,,,,,,,
Nov-12,164.8,,,,,,,,,,,,,,,,,,,
Feb-13,149.8,,,,,,,,,,,,,,,,,,,
May-13,143.5,,,,,,,,,,,,,,,,,,,
Aug-13,140.6,,,,,,,,,,,,,,,,,,,
Nov-13,138.9,,,,,,,,,,,,,,,,,,,
Feb-14,143.2,,,,,,,,,,,,,,,,,,,
May-14,147.4,,,,,,,,,,,,,,,,,,,
Aug-14,146.6,,,,,,,,,,,,,,,,,,,
Nov-14,149.7,,,,,,,,,,,,,,,,,,,
Feb-15,152,,,,,,,,,,,,,,,,,,,
May-15,157.7,,,,,,,,,,,,,,,,,,,
Aug-15,161.7,,,,,,,,,,,,,,,,,,,
Nov-15,167.4,,,,,,,,,,,,,,,,,,,
Feb-16,172.3,,,,,,,,,,,,,,,,,,,
May-16,171.1,,,,,,,,,,,,,,,,,,,
Aug-16,177.4,,,,,,,,,,,,,,,,,,,
Nov-16,182.2,,,,,,,,,,,,,,,,,,,
Feb-17,185.1,,,,,,,,,,,,,,,,,,,
May-17,185.6,,,,,,,,,,,,,,,,,,,
Aug-17,200.9,,,,,,,,,,,,,,,,,,,
Nov-17,204.4,,,,,,,,,,,,,,,,,,,
Feb-18,212.8,,,,,,,,,,,,,,,,,,,
May-18,223.8,,,,,,,,,,,,,,,,,,,
Aug-18,228.6,,,,,,,,,,,,,,,,,,,
Nov-18,230.4,,,,,,,,,,,,,,,,,,,
Feb-19,232.3,,,,,,,,,,,,,,,,,,,
May-19,227.9,,,,,,,,,,,,,,,,,,,
Aug-19,224.2,,,,,,,,,,,,,,,,,,,
Nov-19,227.1,,,,,,,,,,,,,,,,,,,
Feb-20,227.3,,,,,,,,,,,,,,,,,,,
May-20,129.1,,,,,,,,,,,,,,,,,,,
